public_model,public_brand,light_type,internal_model,internal_supplier,internal_product_id
IOO-LT-0140,IOO,illumination,IDT3-00-120-1-RGB,private_supplier,284
IOO-LT-0141,IOO,illumination,IDT3-00-150-1-RGB,private_supplier,285
IOO-LT-0142,IOO,illumination,IDT3-00-200-1-RGB,private_supplier,286
IOO-LT-0143,IOO,illumination,IDT3-00-120-1-RGB,private_supplier,287
IOO-LT-0144,IOO,illumination,IDT3-00-150-1-RGB,private_supplier,288
IOO-LT-0145,IOO,illumination,IDT3-00-200-1-RGB,private_supplier,289
IOO-DM-0001,IOO,dome_light,IDS5-00-050-1-X,private_supplier,290
IOO-DM-0002,IOO,dome_light,IDS5-00-070-1-X,private_supplier,291
IOO-DM-0003,IOO,dome_light,IDS5-00-100-1-X,private_supplier,292
IOO-DM-0004,IOO,dome_light,IDS5-00-150-1-X,private_supplier,293
IOO-DM-0005,IOO,dome_light,IDS5-00-200-1-X,private_supplier,294
IOO-DM-0006,IOO,dome_light,IDS5-00-250-1-X,private_supplier,295
IOO-DM-0007,IOO,dome_light,IDS4-00-360-1-X,private_supplier,296
IOO-DM-0008,IOO,dome_light,IDS4-00-150-1-RGB,private_supplier,297
IOO-DM-0009,IOO,dome_light,IDS4-00-200-1-RGB,private_supplier,298
IOO-DM-0010,IOO,dome_light,IDS5-00-150-1-RGBW,private_supplier,299
IOO-DM-0011,IOO,dome_light,IDS5-00-200-1-RGBW,private_supplier,300
IOO-DM-0012,IOO,dome_light,IDS5-00-250-1-RGBW,private_supplier,301
IOO-LT-0146,IOO,illumination,IDS4-00-150-1-RGB,private_supplier,302
IOO-LT-0147,IOO,illumination,IDS4-00-200-1-RGB,private_supplier,303
IOO-DF-0011,IOO,dark_field,LLA-90-050-1-X,private_supplier,304
IOO-DF-0012,IOO,dark_field,LLA-90-080-1-X,private_supplier,305
IOO-DF-0013,IOO,dark_field,LLA-90-100-1-X,private_supplier,306
IOO-DF-0014,IOO,dark_field,LLA-90-118-1-X,private_supplier,307
IOO-DF-0015,IOO,dark_field,LLA-90-120-1-X,private_supplier,308
IOO-DF-0016,IOO,dark_field,LLA-90-150-1-X,private_supplier,309
IOO-DF-0017,IOO,dark_field,LLA-90-180-1-X,private_supplier,310
IOO-DF-0018,IOO,dark_field,LLA-90-210-1-X,private_supplier,311
IOO-DF-0019,IOO,dark_field,LLA-90-230-1-X,private_supplier,312
IOO-BAR-0003,IOO,bar_light,LBRX-00-040-6-X,private_supplier,313
IOO-BAR-0004,IOO,bar_light,LBRX-00-080-6-X,private_supplier,314
IOO-BAR-0005,IOO,bar_light,LBRX-00-120-6-X,private_supplier,315
IOO-BAR-0006,IOO,bar_light,LBRX-00-160-6-X,private_supplier,316
IOO-BAR-0007,IOO,bar_light,LBRX-00-200-6-X,private_supplier,317
IOO-LT-0148,IOO,illumination,LBRQ-00-040-3-X,private_supplier,318
IOO-LT-0149,IOO,illumination,LBRQ-00-080-3-X,private_supplier,319
IOO-LT-0150,IOO,illumination,LBRQ-00-120-3-X,private_supplier,320
IOO-LT-0151,IOO,illumination,LBRQ-00-160-3-X,private_supplier,321
IOO-LT-0152,IOO,illumination,LBRQ-00-200-3-X,private_supplier,322
IOO-BAR-0008,IOO,bar_light,LBRX-00-040-3-X,private_supplier,323
IOO-BAR-0009,IOO,bar_light,LBRX-00-080-3-X,private_supplier,324
IOO-BAR-0010,IOO,bar_light,LBRX-00-120-3-X,private_supplier,325
IOO-BAR-0011,IOO,bar_light,LBRX-00-160-3-X,private_supplier,326
IOO-BAR-0012,IOO,bar_light,LBRX-00-200-3-X,private_supplier,327
IOO-DF-0020,IOO,dark_field,LLA-75-120-3-X,private_supplier,328
IOO-DF-0021,IOO,dark_field,LLA-75-130-3-X,private_supplier,329
IOO-DF-0022,IOO,dark_field,LLA-75-170-3-X,private_supplier,330
IOO-DF-0023,IOO,dark_field,LLA-75-180-3-X,private_supplier,331
IOO-DF-0024,IOO,dark_field,LLA-75-230-3-X,private_supplier,332
IOO-DF-0025,IOO,dark_field,LLA-60-060-2-X,private_supplier,333
IOO-DF-0026,IOO,dark_field,LLA-60-070-1-X,private_supplier,334
IOO-DF-0027,IOO,dark_field,LLA-60-070-2-X,private_supplier,335
IOO-DF-0028,IOO,dark_field,LLA-60-090-2-X,private_supplier,336
IOO-DF-0029,IOO,dark_field,LLA-60-100-2-X,private_supplier,337
IOO-DF-0030,IOO,dark_field,LLA-60-150-3-X,private_supplier,338
IOO-DF-0031,IOO,dark_field,LLA-60-200-2-X,private_supplier,339
IOO-DF-0032,IOO,dark_field,LLA-60-235-2-X,private_supplier,340
IOO-DF-0033,IOO,dark_field,LLA-60-263-2-X,private_supplier,341
IOO-DF-0034,IOO,dark_field,LLA-60-430-3-X,private_supplier,342
IOO-DF-0035,IOO,dark_field,IR850,private_supplier,343
IOO-LT-0153,IOO,illumination,IDD-00-045-4-X,private_supplier,344
IOO-LT-0154,IOO,illumination,IDD-00-075-7-X,private_supplier,345
