brand,model,spec_group,spec_name,raw_value,normalized_value,unit,source_url
TMS LITE,(F-DLA2-00-070-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-070-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-070-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-070-DIFFUSER),table_2,D° (mm),ARC-INNER,ARC-INNER,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-100-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-100-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-100-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLA2-00-100-DIFFUSER),table_2,D° (mm),ARC-INNER,ARC-INNER,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_2,D° (mm),ARC-OUTER,ARC-OUTER,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_3,Datasheet,DLC3 - RGBW,DLC3 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-070-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_2,D° (mm),ARC-OUTER,ARC-OUTER,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_3,Datasheet,DLC3 - RGBW,DLC3 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-100-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_2,D° (mm),ARC-OUTER,ARC-OUTER,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_3,Datasheet,DLC3 - RGBW,DLC3 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLC3-00-120-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_2,D° (mm),90,90,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_3,Datasheet,DLF5 - RGBW,DLF5 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-070-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-100-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-100-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-100-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-100-DIFFUSER),table_2,D° (mm),90,90,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-100-DIFFUSER),table_3,Datasheet,DLF5 - RGBW,DLF5 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-100-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-100-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-120-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-120-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-120-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-120-DIFFUSER),table_2,D° (mm),90,90,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-120-DIFFUSER),table_3,Datasheet,DLF5 - RGBW,DLF5 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-120-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLF5-90-120-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-070-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-070-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-070-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-070-DIFFUSER),table_2,D° (mm),45,45,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-070-DIFFUSER),table_3,Datasheet,DLS4-45 - RGBW,DLS4-45 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-070-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-070-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-100-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-100-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-100-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-100-DIFFUSER),table_2,D° (mm),45,45,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-100-DIFFUSER),table_3,Datasheet,DLS4-45 - RGBW,DLS4-45 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-100-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-100-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-120-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-120-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-120-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-120-DIFFUSER),table_2,D° (mm),45,45,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-120-DIFFUSER),table_3,Datasheet,DLS4-45 - RGBW,DLS4-45 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-120-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-45-120-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-070-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-070-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-070-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-070-DIFFUSER),table_2,D° (mm),60,60,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-070-DIFFUSER),table_3,Datasheet,DLS4-60 - RGBW,DLS4-60 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-070-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-070-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-100-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-100-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-100-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-100-DIFFUSER),table_2,D° (mm),60,60,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-100-DIFFUSER),table_3,Datasheet,DLS4-60 - RGBW,DLS4-60 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-100-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-100-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-120-DIFFUSER),table_2,A (mm),Able swap diffuser (5 in 1),Able swap diffuser (5 in 1),mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-120-DIFFUSER),table_2,B (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-120-DIFFUSER),table_2,C (mm),-,-,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-120-DIFFUSER),table_2,D° (mm),60,60,mm,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-120-DIFFUSER),table_3,Datasheet,DLS4-60 - RGBW,DLS4-60 - RGBW,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-120-DIFFUSER),table_3,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,(F-DLS4-60-120-DIFFUSER),table_3,STEP(3D),3D View,3D View,,https://www.tms-lite.com/dlc-dlf-dls-45-60-dla-dlp-dlg-series.html
TMS LITE,21-4CH-A1-RS-LL,page,Product Page Title,LC-21-4CH-A1-RS-LL,LC-21-4CH-A1-RS-LL,,https://www.tms-lite.com/lc-21-4ch-a1-rs-ll-1479307220
TMS LITE,21-8CH-HS,page,Product Page Title,LC-21-8CH-HS,LC-21-8CH-HS,,https://www.tms-lite.com/lc-21-8ch-hs
TMS LITE,21-8CH-HS-TCP,page,Product Page Title,LC-21-8CH-HS-TCP,LC-21-8CH-HS-TCP,,https://www.tms-lite.com/lc-21-8ch-hs-tcp
TMS LITE,2CH-HS,page,Product Page Title,DRV-2CH-HS,DRV-2CH-HS,,https://www.tms-lite.com/drv-2ch-hs
TMS LITE,2CH-HS-HBL,page,Product Page Title,DRV-2CH-HS-HBL,DRV-2CH-HS-HBL,,https://www.tms-lite.com/drv-2ch-hs-hbl
TMS LITE,3SWIR-HLBS2-F-HPD3-V1,page,Product Page Title,DK-3SWIR-HLBS2-F-HPD3-V1,DK-3SWIR-HLBS2-F-HPD3-V1,,https://www.tms-lite.com/dk-3swir-hlbs2-f-hpd3-v1
TMS LITE,40A,page,Product Page Title,PTP-40-320x80-4.2V-40A,PTP-40-320x80-4.2V-40A,,https://www.tms-lite.com/ptp-40-320x80-4.2v-40a-2069708409
TMS LITE,4NIR-HLBS2-F-HPD3-V1,page,Product Page Title,DK-4NIR-HLBS2-F-HPD3-V1,DK-4NIR-HLBS2-F-HPD3-V1,,https://www.tms-lite.com/dk-4nir-hlbs2-f-hpd3-v1
TMS LITE,4UV-HLBS2-F-HPD3-V1,page,Product Page Title,DK-4UV-HLBS2-F-HPD3-V1,DK-4UV-HLBS2-F-HPD3-V1,,https://www.tms-lite.com/dk-4uv-hlbs2-f-hpd3-v1
TMS LITE,BHC2-00-025-X-X,table_1,Datasheet,3D View,3D View,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_1,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_1,STEP (3D),DXF,DXF,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_1,extra_4,Red,Red,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_1,extra_5,Green,Green,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_1,extra_6,Blue,Blue,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_1,extra_7,White,White,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_2,Current,60mA 24mA 18mA,60mA 24mA 18mA,mA,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_2,Voltage (V) / Watt (W),24V / 1.44W 24V / 0.576W 24V / 0.432W,24V / 1.44W 24V / 0.576W 24V / 0.432W,V,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_2,Weight (g),48,48,g,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_3,A (mm),59,59,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_3,B (mm),49,49,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_3,C (mm),25,25,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_3,D (mm),17,17,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_3,E (mm),25,25,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-025-X-X,table_3,F (mm),30,30,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_1,Datasheet,3D View,3D View,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_1,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_1,STEP (3D),DXF,DXF,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_1,extra_4,Red,Red,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_1,extra_5,Green,Green,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_1,extra_6,Blue,Blue,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_1,extra_7,White,White,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_2,Current,96mA 72mA,96mA 72mA,mA,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_2,Voltage (V) / Watt (W),24V / 2.304W 24V / 1.728W,24V / 2.304W 24V / 1.728W,V,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_2,Weight (g),96,96,g,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_3,A (mm),84,84,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_3,B (mm),74,74,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_3,C (mm),50,50,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_3,D (mm),30,30,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_3,E (mm),50,50,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-050-X-X,table_3,F (mm),55,55,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_1,Datasheet,3D View,3D View,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_1,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_1,STEP (3D),DXF,DXF,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_1,extra_4,Red,Red,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_1,extra_5,Green,Green,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_1,extra_6,Blue,Blue,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_1,extra_7,White,White,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_2,Current,216mA 162mA,216mA 162mA,mA,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_2,Voltage (V) / Watt (W),24V / 5.184W 24V / 3.888W,24V / 5.184W 24V / 3.888W,V,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_2,Weight (g),121,121,g,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_3,A (mm),109,109,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_3,B (mm),99,99,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_3,C (mm),75,75,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_3,D (mm),38.5,38.5,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_3,E (mm),75,75,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-075-X-X,table_3,F (mm),80,80,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_1,Datasheet,3D View,3D View,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_1,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_1,STEP (3D),DXF,DXF,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_1,extra_4,Red,Red,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_1,extra_5,Green,Green,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_1,extra_6,Blue,Blue,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_1,extra_7,White,White,,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_2,Current,384mA 288mA,384mA 288mA,mA,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_2,Voltage (V) / Watt (W),24V / 9.216W 24V / 6.912W,24V / 9.216W 24V / 6.912W,V,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_2,Weight (g),264,264,g,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_3,A (mm),134,134,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_3,B (mm),124,124,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_3,C (mm),100,100,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_3,D (mm),60,60,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_3,E (mm),100,100,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHC2-00-100-X-X,table_3,F (mm),105,105,mm,https://www.tms-lite.com/bhc2-serie.html
TMS LITE,BHD-00-070-1-X,table_1,Datasheet,3D View,3D View,,https://www.tms-lite.com/bhd-serie.html
TMS LITE,BHD-00-070-1-X,table_1,Drawing (2D),PDF,PDF,,https://www.tms-lite.com/bhd-serie.html
TMS LITE,BHD-00-070-1-X,table_1,STEP (3D),DXF,DXF,,https://www.tms-lite.com/bhd-serie.html
TMS LITE,BHD-00-070-1-X,table_1,extra_4,Red,Red,,https://www.tms-lite.com/bhd-serie.html
TMS LITE,BHD-00-070-1-X,table_1,extra_5,Green,Green,,https://www.tms-lite.com/bhd-serie.html
TMS LITE,BHD-00-070-1-X,table_1,extra_6,Blue,Blue,,https://www.tms-lite.com/bhd-serie.html
TMS LITE,BHD-00-070-1-X,table_1,extra_7,White,White,,https://www.tms-lite.com/bhd-serie.html
TMS LITE,BHD-00-070-1-X,table_2,Current,120mA 120mA,120mA 120mA,mA,https://www.tms-lite.com/bhd-serie.html
